IDConsulta;Creation_Time;Index_Suggestions_Flag;Warnings_Flag;Table_Scan_Flag;Index_Scan_Flag;last_execution_time;last_worker_time;last_logical_reads;last_elapsed_time;Categoria
1465;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:46:34.267;772;3;773;2
1466;2025-02-28 07:32:37.390;0;0;0;1;2025-02-28 08:46:34.267;6684;16;6686;1
1467;2025-02-28 07:48:53.560;0;0;0;1;2025-02-28 08:47:00.610;496289;47835;154222;1
1468;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:47:04.197;177;3;177;2
1469;2025-02-28 06:45:40.863;0;0;0;1;2025-02-28 08:47:10.203;943;16;944;2
1470;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:47:19.210;56;2;56;2
1471;2025-02-28 07:35:53.357;0;1;0;1;2025-02-28 08:47:12.773;2620;16;2620;1
1472;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:47:26.787;76;2;77;2
1473;2025-02-28 07:34:29.240;0;0;0;1;2025-02-28 08:47:47.037;220;4;221;2
1474;2025-02-28 06:45:40.863;0;0;0;1;2025-02-28 08:47:46.437;1034;16;1035;1
1475;2025-02-28 07:32:37.407;0;0;0;1;2025-02-28 08:48:12.990;2302;16;2304;1
1476;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:48:22.540;48;2;49;2
1477;2025-02-28 07:32:37.407;0;0;0;1;2025-02-28 08:48:27.010;333475;47857;133463;1
1478;2025-02-28 06:56:58.210;0;0;0;1;2025-02-28 08:48:31.590;318216;47835;129220;1
1479;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:48:46.230;96;2;96;2
1480;2025-02-28 07:33:15.803;1;0;0;1;2025-02-28 08:48:53.237;2958;61;2958;1
1481;2025-02-28 06:51:44.733;0;0;0;1;2025-02-28 08:48:55.777;6966;16;6968;1
1482;2025-02-28 06:47:29.627;0;0;0;1;2025-02-28 08:49:07.247;103;2;104;2
1483;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:49:19.810;701;3;702;2
1484;2025-02-28 07:34:29.240;0;0;0;1;2025-02-28 08:49:14.497;78;4;79;2
1485;2025-02-28 06:52:51.153;0;0;0;1;2025-02-28 08:49:29.823;218;4;219;2
1486;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:49:32.673;394;3;395;2
1487;2025-02-28 06:52:51.153;0;0;0;1;2025-02-28 08:49:42.830;115;4;116;2
1538;2025-02-28 06:46:58.277;0;0;0;1;2025-02-28 08:54:51.527;43;2;43;2
1539;2025-02-28 06:48:27.713;0;0;0;1;2025-02-28 08:54:59.533;516823;47835;150343;1
1540;2025-03-02 10:53:06.017;0;0;0;1;2025-03-02 10:53:06.020;168;2;168;2
1541;2025-03-02 10:53:05.610;0;0;0;1;2025-03-02 10:53:05.610;398;2;772;2
1542;2025-03-03 20:46:01.807;0;0;0;0;2025-03-03 20:46:01.810;9085;1628;9162;1
1543;2025-03-03 20:46:00.913;0;0;0;1;2025-03-03 20:46:00.963;106596;6081;126047;1
1544;2025-03-03 20:46:03.890;0;0;0;1;2025-03-03 20:46:03.907;8027;126;8718;1
1545;2025-03-03 20:46:04.187;0;0;0;1;2025-03-03 20:46:04.200;8788;107;9161;1
1502;2025-02-28 06:48:27.703;0;0;0;0;2025-02-28 08:51:26.387;56;0;57;2
1503;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:51:33.703;37;2;37;2
1504;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 08:51:33.740;165;20;165;2
1505;2025-02-28 06:50:23.790;1;0;0;1;2025-02-28 08:51:33.647;4918;61;8854;1
